Content,score
waste app much bokarage money totally cutting getting negative balance dont use app high bokarage hate app,1
good tax,5
everything app good want access u stock market happens groww attract many audience thank,5
burnpur cement stock ki holo mera rupiya abhi tak nehi mila coustomer care koi answer nehi detafaltu main mera rupiya lut liya,1
high brokerage equity delivery initially charge zero brokerage6 month increase 2 rupeesnow charge 5 rupee order,1
pahele live price reflects hota tha karne ke time abhi refresh karna padhra total worse,1
good always scope improvement keep,4
v nice,4
good app proper guidance,4
grow,5
shandar,5
performance good,5
reason give 1 star rating money doesnt get added wallet even money get deducted bank groww app interface doesnt reach final page wallet part keep rotating money added 24 hour request groww app kindly solve bug risky add money groww wallet,1
redeem amount take 5 day,1
worest lot hidden charge,1
nice groww direct fund find happy nice online digital best carefully use people gide thank u kapil,5
good app,5
highly five,5
grow income,5
good good,5
nyc app,5
secure reliable informative user friendly,5
aap easy li understand nice,5
power share market trading gold life changing share market option trading journey grow app thank much grow team,5
thank,5
nice app helpful easy work good staff also help,4
mony transfer ko pardasri banana hoga,1
worry bad service,1
worthless useless app ever much hyped app dont ever use app app must devote resource seamless user interface executing order lost money due poor app performance time selling intraday stock app take time load data show current exact price result customer cant execute order chinese car mobile better much hyped japanese german tech never fall prey much hyped app,1
best best quality,5
frequently app get,1
nice two trad,5
last update im opening share detail taking much usually taking even im wifi zone home like travelling cellular network something ye kya bawaseer update kar diye ho tum log,1
simple ui,5
easy use good interface,5
growws data analysis good platform flexible investing redemption felt like wasted valuable time thinking reading following expert advice business chennels investing mutual fund sip,5
good use,4
kindly provide line chart groww chart also provide multi chart single screen multi layout,5
showing intraday screener recent high low stock moment also showing losersgainers largemidsmall cap,2
nice operating,5
stp option app,1
smooth easy use,4
khubsurat,5
groww side many technical issue,1
please groww mat download kariye aap log yaha ba scam hota hai charge kya naam per 300 tak log kaat lete hai bank settlement kya naam per log ko bewakoof banate hain please download app,1
awesome application,5
good app poor service,1
good brokrage high,5
new update good previous one,3
best investment,5
simple helpful,5
scamar app stock lete hi karte hai loss 1 lakh es se dur rahe,1
fast best,5
wrong information groww app,3
happy,5
old chart pattern better new difficult get,1
